,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6905,0.5943,0.225,0.2432,0.2338,0.1957,0.9271
0_1,0.8266,0.6673,0.375,0.3261,0.3488,0.3133,0.9308
0_2,0.6694,0.5876,0.2195,0.2093,0.2143,0.1713,0.9184
0_3,0.6675,0.6133,0.2683,0.2558,0.2619,0.2216,0.9234
0_4,0.6911,0.5909,0.2195,0.2368,0.2278,0.1884,0.9246
0_5,0.7065,0.6167,0.275,0.2558,0.2651,0.2255,0.9245
0_6,0.7503,0.6587,0.35,0.359,0.3544,0.3213,0.9369
0_7,0.7685,0.6495,0.325,0.3939,0.3562,0.3277,0.9418
0_8,0.6772,0.5977,0.25,0.1923,0.2174,0.1727,0.9109
0_9,0.7132,0.6272,0.3,0.2553,0.2759,0.2358,0.922
0_Mean,0.7161,0.6203,0.2807,0.2728,0.2756,0.2373,0.926
0_SD,0.0512,0.0294,0.0555,0.0654,0.0573,0.0615,0.0089
Mean,0.7161,0.6203,0.2807,0.2728,0.2756,0.2373,0.926
SD,0.0512,0.0294,0.0555,0.0654,0.0573,0.0615,0.0089
