,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5129,0.58,0.1739,0.2667,0.2105,0.197,0.9629
0_1,0.6255,0.562,0.1304,0.375,0.1935,0.2084,0.9691
0_2,0.6984,0.5831,0.1739,0.4,0.2424,0.2501,0.9691
0_3,0.6517,0.5384,0.087,0.2,0.1212,0.1155,0.9641
0_4,0.6122,0.4911,0.0,0.0,,-0.0232,0.953
0_5,0.6508,0.5359,0.0833,0.1818,0.1143,0.1053,0.9616
0_6,0.6644,0.5561,0.125,0.2308,0.1622,0.1515,0.9616
0_7,0.6085,0.5422,0.087,0.5,0.1481,0.2,0.9715
0_8,0.6326,0.5838,0.1739,0.4444,0.25,0.2655,0.9703
0_9,0.5296,0.5134,0.0435,0.0714,0.0541,0.0343,0.9566
0_Mean,0.6187,0.5486,0.1078,0.267,0.1663,0.1504,0.964
0_SD,0.0578,0.0307,0.0588,0.1625,0.0644,0.0931,0.0061
Mean,0.6187,0.5486,0.1078,0.267,0.1663,0.1504,0.964
SD,0.0578,0.0307,0.0588,0.1625,0.0644,0.0931,0.0061
