,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7559,0.7182,0.7114,0.7186,0.7556
GBT_AUC,0.7354,0.7421,0.735,0.7183,0.7656
RF_AUC,0.7823,0.7751,0.761,0.7863,0.7993
LR_AUC,0.7079,0.754,0.7184,0.7203,0.7471
KNN_AUC,0.728,0.7266,0.7194,0.7367,0.745
NB_AUC,0.5442,0.5716,0.5115,0.4762,0.5158
MLP_Recall,0.3566,0.4118,0.4118,0.4059,0.4478
GBT_Recall,0.2338,0.3276,0.2846,0.3037,0.3617
RF_Recall,0.2776,0.3206,0.3085,0.2658,0.3695
LR_Recall,0.5452,0.4357,0.4356,0.4357,0.4419
KNN_Recall,0.5386,0.5507,0.5577,0.593,0.6052
NB_Recall,0.8721,0.2437,0.4478,0.5695,0.6044
MLP_F1,0.2576,0.3163,0.2666,0.2659,0.2996
GBT_F1,0.2271,0.3056,0.3158,0.3122,0.3443
RF_F1,0.306,0.3707,0.3672,0.319,0.3965
LR_F1,0.0941,0.2704,0.2348,0.2415,0.2069
KNN_F1,0.1391,0.1206,0.1195,0.1323,0.1175
NB_F1,0.046,0.0791,0.0382,0.0352,0.0413
