,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.8198,0.7851,0.8076,0.8166,0.8229
GBT_AUC,0.8639,0.7949,0.8535,0.8538,0.8665
RF_AUC,0.8547,0.8665,0.849,0.8362,0.8526
LR_AUC,0.8173,0.8021,0.8109,0.8203,0.8165
KNN_AUC,0.8308,0.8094,0.7872,0.82,0.8233
NB_AUC,0.5992,0.705,0.8044,0.6327,0.6381
MLP_Recall,0.6167,0.6321,0.6417,0.6481,0.6474
GBT_Recall,0.6096,0.6244,0.6103,0.5942,0.6237
RF_Recall,0.5936,0.6244,0.6186,0.6096,0.616
LR_Recall,0.6865,0.6398,0.6346,0.625,0.6398
KNN_Recall,0.7186,0.6942,0.6731,0.7109,0.7103
NB_Recall,0.8282,0.4442,0.6333,0.7487,0.725
MLP_F1,0.4613,0.5501,0.4178,0.5024,0.4779
GBT_F1,0.5401,0.6187,0.6264,0.6348,0.6046
RF_F1,0.6438,0.6875,0.6088,0.6202,0.6193
LR_F1,0.179,0.5238,0.3769,0.4539,0.4032
KNN_F1,0.2024,0.1593,0.1288,0.1847,0.1582
NB_F1,0.0391,0.2492,0.3749,0.047,0.0482
