,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7979,0.6665,0.7604,0.7857,0.796
GBT_AUC,0.7829,0.7006,0.7777,0.801,0.8201
RF_AUC,0.8107,0.7971,0.8088,0.8174,0.8267
LR_AUC,0.7622,0.7234,0.7412,0.7741,0.7849
KNN_AUC,0.7495,0.7254,0.7454,0.7528,0.7597
NB_AUC,0.5312,0.5209,0.6882,0.64,0.5053
MLP_Recall,0.3662,0.2626,0.3665,0.4448,0.4403
GBT_Recall,0.2814,0.1593,0.202,0.2582,0.3335
RF_Recall,0.2485,0.1312,0.2256,0.2628,0.2442
LR_Recall,0.6385,0.3706,0.376,0.4777,0.4875
KNN_Recall,0.6013,0.5857,0.6149,0.6143,0.6654
NB_Recall,0.948,0.2069,0.6193,0.7227,0.7177
MLP_F1,0.2328,0.1876,0.1944,0.251,0.2563
GBT_F1,0.2371,0.2047,0.2256,0.2606,0.2664
RF_F1,0.278,0.1974,0.2663,0.2928,0.2638
LR_F1,0.1394,0.2088,0.1817,0.247,0.2165
KNN_F1,0.1669,0.1258,0.1475,0.1638,0.149
NB_F1,0.0612,0.0612,0.0966,0.091,0.0569
