,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7681,0.7317,0.7559,0.7801,0.717
GBT_AUC,0.88,0.8117,0.7342,0.7827,0.8385
RF_AUC,0.7719,0.6874,0.7259,0.7066,0.7398
LR_AUC,0.8028,0.7508,0.7557,0.7807,0.7697
KNN_AUC,0.7219,0.6804,0.7029,0.7058,0.6545
NB_AUC,0.5276,0.5305,0.5205,0.4846,0.4649
MLP_Recall,0.2917,0.2083,0.2583,0.2833,0.1833
GBT_Recall,0.2583,0.0917,0.2583,0.2167,0.1667
RF_Recall,0.0667,0.0583,0.125,0.2167,0.1167
LR_Recall,0.45,0.2417,0.2583,0.2833,0.2167
KNN_Recall,0.3667,0.45,0.475,0.3083,0.3583
NB_Recall,0.6417,0.0667,0.2167,0.3167,0.2833
MLP_F1,0.2364,0.2709,0.1769,0.3139,0.2855
GBT_F1,0.3743,0.2333,0.2023,0.3694,0.3701
RF_F1,0.3333,0.254,0.1894,0.3939,0.2954
LR_F1,0.1607,0.2559,0.1471,0.2902,0.2594
KNN_F1,0.1033,0.0493,0.0448,0.0767,0.0985
NB_F1,0.0096,0.2679,0.0326,0.0096,0.0114
