,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.6119,0.6096,0.59,0.5924,0.605
GBT_AUC,0.5702,0.6157,0.5933,0.5893,0.5984
RF_AUC,0.628,0.678,0.6514,0.6551,0.648
LR_AUC,0.5282,0.6216,0.5663,0.5741,0.5456
KNN_AUC,0.6066,0.6579,0.6158,0.6273,0.6359
NB_AUC,0.4759,0.5103,0.5939,0.4808,0.4739
MLP_Recall,0.1647,0.1823,0.1882,0.2177,0.1882
GBT_Recall,0.0588,0.0706,0.1176,0.1294,0.1117
RF_Recall,0.0941,0.1117,0.1059,0.1353,0.1235
LR_Recall,0.3765,0.2294,0.2118,0.2353,0.2059
KNN_Recall,0.3882,0.4706,0.4118,0.4471,0.4588
NB_Recall,0.8765,0.1647,0.4824,0.6941,0.6765
MLP_F1,0.1027,0.1241,0.1082,0.1296,0.118
GBT_F1,0.1031,0.1351,0.1715,0.1773,0.1708
RF_F1,0.1506,0.1736,0.1579,0.164,0.1673
LR_F1,0.0464,0.1161,0.097,0.1049,0.0739
KNN_F1,0.075,0.0759,0.0777,0.0803,0.0743
NB_F1,0.0396,0.0418,0.0545,0.0388,0.0377
