,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7691,0.7239,0.7424,0.717,0.7326
GBT_AUC,0.7564,0.7325,0.7574,0.7274,0.7415
RF_AUC,0.7815,0.7566,0.7374,0.716,0.7783
LR_AUC,0.7501,0.7424,0.7517,0.7076,0.7345
KNN_AUC,0.6943,0.7058,0.6922,0.6542,0.6627
NB_AUC,0.5511,0.5607,0.5945,0.5958,0.5691
MLP_Recall,0.2681,0.3458,0.4111,0.3111,0.3194
GBT_Recall,0.1694,0.2944,0.3097,0.1986,0.2569
RF_Recall,0.1597,0.2208,0.1736,0.1486,0.2083
LR_Recall,0.4431,0.3819,0.3986,0.2986,0.3694
KNN_Recall,0.4556,0.5194,0.5194,0.3722,0.4403
NB_Recall,0.8278,0.1486,0.5931,0.5569,0.5194
MLP_F1,0.1604,0.2255,0.1864,0.196,0.1879
GBT_F1,0.1663,0.1541,0.199,0.2004,0.2603
RF_F1,0.2192,0.3116,0.1779,0.2395,0.248
LR_F1,0.0741,0.1867,0.1558,0.1572,0.1636
KNN_F1,0.1126,0.0617,0.0643,0.0667,0.0729
NB_F1,0.0247,0.1055,0.0309,0.0322,0.029
