,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.6576,0.6759,0.687,0.6485,0.6417
GBT_AUC,0.6187,0.6411,0.6421,0.6554,0.6524
RF_AUC,0.6867,0.6915,0.6956,0.6937,0.6726
LR_AUC,0.6267,0.6838,0.6523,0.6369,0.6102
KNN_AUC,0.6906,0.6619,0.6825,0.6713,0.6547
NB_AUC,0.5281,0.5378,0.6072,0.5026,0.4885
MLP_Recall,0.2444,0.2411,0.325,0.3038,0.2783
GBT_Recall,0.1078,0.1852,0.167,0.1411,0.1578
RF_Recall,0.163,0.1333,0.1837,0.175,0.1797
LR_Recall,0.5031,0.3102,0.3379,0.304,0.2957
KNN_Recall,0.5029,0.5976,0.5574,0.5446,0.5063
NB_Recall,0.8674,0.2491,0.5005,0.6794,0.7342
MLP_F1,0.1586,0.1466,0.1549,0.1754,0.1723
GBT_F1,0.1663,0.1484,0.1952,0.1752,0.1996
RF_F1,0.2028,0.1794,0.2076,0.2001,0.2052
LR_F1,0.0803,0.1405,0.1403,0.1387,0.1075
KNN_F1,0.1222,0.0895,0.1037,0.1124,0.1006
NB_F1,0.0575,0.0696,0.0841,0.0561,0.0536
