,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7476,0.7264,0.74,0.7645,0.7643
GBT_AUC,0.7532,0.7417,0.7537,0.7781,0.7802
RF_AUC,0.797,0.771,0.775,0.788,0.7797
LR_AUC,0.7673,0.734,0.7303,0.7731,0.7645
KNN_AUC,0.7523,0.7194,0.7362,0.749,0.7516
NB_AUC,0.5853,0.5944,0.7796,0.613,0.5557
MLP_Recall,0.5145,0.4982,0.5212,0.5147,0.4985
GBT_Recall,0.4916,0.4885,0.4791,0.4792,0.4886
RF_Recall,0.4885,0.4788,0.4758,0.4922,0.4918
LR_Recall,0.6435,0.5111,0.5244,0.5276,0.5405
KNN_Recall,0.6274,0.6245,0.6441,0.6411,0.6407
NB_Recall,0.8576,0.427,0.5309,0.6961,0.7928
MLP_F1,0.3703,0.3401,0.334,0.3359,0.3629
GBT_F1,0.5269,0.5524,0.5514,0.519,0.5191
RF_F1,0.5525,0.5371,0.4999,0.4936,0.5105
LR_F1,0.1802,0.3009,0.2976,0.3047,0.2889
KNN_F1,0.1876,0.1507,0.1702,0.185,0.1782
NB_F1,0.0833,0.1143,0.3353,0.1035,0.0833
