,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.8144,0.7962,0.7956,0.7968,0.7947
GBT_AUC,0.8146,0.82,0.8049,0.8053,0.8059
RF_AUC,0.8475,0.8237,0.7968,0.8117,0.8
LR_AUC,0.8088,0.8048,0.8029,0.7921,0.7865
KNN_AUC,0.7975,0.7711,0.7486,0.7511,0.764
NB_AUC,0.6133,0.6486,0.7503,0.6003,0.5735
MLP_Recall,0.5811,0.5537,0.5615,0.5697,0.5734
GBT_Recall,0.5455,0.5538,0.5452,0.5577,0.5574
RF_Recall,0.5532,0.5618,0.5332,0.5537,0.5574
LR_Recall,0.6809,0.5817,0.5735,0.5697,0.5971
KNN_Recall,0.6768,0.7055,0.6449,0.6451,0.6649
NB_Recall,0.8406,0.4223,0.5412,0.7612,0.7805
MLP_F1,0.4389,0.3988,0.3554,0.4053,0.4131
GBT_F1,0.5338,0.5194,0.5694,0.5676,0.5337
RF_F1,0.5966,0.5744,0.5337,0.5595,0.5488
LR_F1,0.1949,0.371,0.3242,0.3452,0.3332
KNN_F1,0.2165,0.1452,0.1547,0.1727,0.1761
NB_F1,0.0806,0.159,0.3459,0.0792,0.0723
