,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7066,0.6664,0.6981,0.7281,0.7076
GBT_AUC,0.7161,0.6475,0.6879,0.7269,0.7368
RF_AUC,0.7556,0.7231,0.7563,0.7612,0.7605
LR_AUC,0.7262,0.6836,0.6709,0.7153,0.6774
KNN_AUC,0.6902,0.6713,0.6899,0.7075,0.7092
NB_AUC,0.6214,0.5441,0.6444,0.5833,0.5213
MLP_Recall,0.3952,0.367,0.4594,0.4665,0.4293
GBT_Recall,0.2807,0.2752,0.2882,0.3347,0.3424
RF_Recall,0.2882,0.2701,0.3402,0.3545,0.3276
LR_Recall,0.6951,0.4215,0.4771,0.4862,0.4687
KNN_Recall,0.5788,0.6352,0.6355,0.645,0.6601
NB_Recall,0.8789,0.4832,0.5732,0.6202,0.7938
MLP_F1,0.2451,0.236,0.2378,0.2626,0.2482
GBT_F1,0.2756,0.2645,0.2984,0.3,0.2578
RF_F1,0.3082,0.3133,0.3367,0.3437,0.3184
LR_F1,0.1792,0.221,0.2191,0.2333,0.1937
KNN_F1,0.1676,0.1567,0.1676,0.1813,0.1747
NB_F1,0.0945,0.1071,0.139,0.122,0.0987
