,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5372,0.5295,0.6143,0.1049,0.1792,0.035,0.461
0_1,0.5465,0.5504,0.6,0.1129,0.19,0.0593,0.5103
0_2,0.5327,0.5277,0.6,0.1045,0.178,0.0328,0.4692
0_3,0.5369,0.5472,0.6087,0.1099,0.1863,0.0552,0.4973
0_4,0.5591,0.5632,0.6377,0.1152,0.1951,0.074,0.5027
0_5,0.5215,0.5154,0.5429,0.1011,0.1704,0.0181,0.4932
0_6,0.5924,0.5879,0.7,0.1241,0.2108,0.1039,0.4973
0_7,0.5349,0.5378,0.6286,0.1076,0.1837,0.0448,0.4644
0_8,0.5407,0.54,0.6286,0.1084,0.1849,0.0475,0.4685
0_9,0.4989,0.4987,0.5429,0.0955,0.1624,-0.0015,0.463
0_Mean,0.5401,0.5398,0.6104,0.1084,0.1841,0.0469,0.4827
0_SD,0.0242,0.0249,0.0457,0.0079,0.0133,0.0293,0.0191
Mean,0.5401,0.5398,0.6104,0.1084,0.1841,0.0469,0.4827
SD,0.0242,0.0249,0.0457,0.0079,0.0133,0.0293,0.0191
