,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5562,0.5562,0.1765,0.0556,0.0845,0.0646,0.92
0_1,0.6745,0.6745,0.4118,0.1228,0.1892,0.1955,0.9262
0_2,0.5499,0.5499,0.1765,0.0469,0.0741,0.053,0.9077
0_3,0.6356,0.6356,0.3529,0.0845,0.1364,0.1375,0.9065
0_4,0.5862,0.5862,0.2353,0.0741,0.1127,0.0991,0.9225
0_5,0.6375,0.6375,0.3529,0.0882,0.1412,0.1422,0.9102
0_6,0.6651,0.6651,0.4118,0.0972,0.1573,0.1662,0.9077
0_7,0.6062,0.6062,0.2941,0.0714,0.1149,0.1084,0.9053
0_8,0.653,0.653,0.375,0.0984,0.1558,0.1613,0.92
0_9,0.5849,0.5849,0.2353,0.0714,0.1096,0.096,0.92
0_Mean,0.6149,0.6149,0.3022,0.081,0.1276,0.1224,0.9146
0_SD,0.0446,0.0446,0.0913,0.0222,0.0352,0.0459,0.0078
Mean,0.6149,0.6149,0.3022,0.0811,0.1276,0.1224,0.9146
SD,0.0446,0.0446,0.0913,0.0222,0.0352,0.0459,0.0078
