,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7505,0.7505,0.5385,0.1892,0.28,0.3015,0.9558
0_1,0.694,0.694,0.4167,0.1786,0.25,0.2565,0.9631
0_2,0.6461,0.6461,0.3333,0.1081,0.1633,0.169,0.9496
0_3,0.7908,0.7908,0.6154,0.2286,0.3333,0.3595,0.9606
0_4,0.6351,0.6351,0.3077,0.1176,0.1702,0.1693,0.952
0_5,0.7101,0.7101,0.4615,0.1538,0.2308,0.2467,0.9508
0_6,0.7567,0.7567,0.5385,0.2593,0.35,0.3594,0.968
0_7,0.6767,0.6767,0.3846,0.1667,0.2326,0.2351,0.9594
0_8,0.7517,0.7517,0.5385,0.2,0.2917,0.3111,0.9582
0_9,0.6382,0.6382,0.3077,0.1379,0.1905,0.187,0.9582
0_Mean,0.705,0.705,0.4442,0.174,0.2492,0.2595,0.9576
0_SD,0.0558,0.0558,0.1106,0.0477,0.0647,0.0721,0.0057
Mean,0.705,0.705,0.4442,0.174,0.2492,0.2595,0.9576
SD,0.0558,0.0558,0.1106,0.0477,0.0647,0.0721,0.0057
