,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8231,0.8169,0.7273,0.0964,0.1702,0.2419,0.9042
0_1,0.7937,0.707,0.5,0.0676,0.119,0.1587,0.909
0_2,0.8911,0.794,0.7,0.0722,0.1308,0.1999,0.8856
0_3,0.833,0.7508,0.6,0.0706,0.1263,0.1807,0.8979
0_4,0.8447,0.7989,0.7,0.0787,0.1414,0.2111,0.8954
0_5,0.7383,0.7427,0.6,0.0612,0.1111,0.1643,0.8819
0_6,0.878,0.7658,0.6364,0.0769,0.1373,0.1948,0.8918
0_7,0.767,0.7303,0.5455,0.0811,0.1412,0.185,0.9102
0_8,0.7192,0.7222,0.5455,0.069,0.1224,0.1661,0.8942
0_9,0.6691,0.6762,0.4545,0.0575,0.102,0.1317,0.8918
0_Mean,0.7957,0.7505,0.6009,0.0731,0.1302,0.1834,0.8962
0_SD,0.0718,0.0442,0.0911,0.011,0.019,0.0308,0.0093
Mean,0.7957,0.7505,0.6009,0.0731,0.1302,0.1834,0.8962
SD,0.0718,0.0442,0.0911,0.011,0.019,0.0308,0.0094
