,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7593,0.6202,0.3333,0.0145,0.0278,0.0526,0.9048
0_1,0.9362,0.7691,0.6667,0.0208,0.0404,0.1018,0.8707
0_2,0.5799,0.6161,0.3333,0.0133,0.0256,0.0489,0.8966
0_3,0.7662,0.7828,0.6667,0.0263,0.0506,0.1184,0.898
0_4,0.6893,0.7001,0.5,0.0267,0.0506,0.0973,0.898
0_5,0.6037,0.6126,0.3333,0.0125,0.0241,0.0461,0.8896
0_6,0.8135,0.8087,0.6667,0.0526,0.0976,0.1778,0.9496
0_7,0.7711,0.782,0.6667,0.026,0.05,0.1174,0.8965
0_8,0.7982,0.7889,0.6667,0.0299,0.0571,0.128,0.9101
0_9,0.9339,0.7772,0.6667,0.0238,0.046,0.1111,0.8869
0_Mean,0.7651,0.7258,0.55,0.0246,0.047,0.0999,0.9001
0_SD,0.119,0.0806,0.1581,0.0116,0.0213,0.0413,0.0204
Mean,0.7651,0.7258,0.55,0.0246,0.047,0.0999,0.9001
SD,0.119,0.0806,0.1581,0.0116,0.0213,0.0413,0.0204
